time,trans
1,-9999
2,-9999
3,-9999
4,-9999
5,-9999
6,-9999
7,-9999
8,-9999
9,-9999
10,-9999
11,-9999
12,-9999
13,-9999
14,-9999
15,-9999
16,-9999
17,-9999
18,-9999
19,-9999
20,-9999
21,-9999
22,-9999
23,-9999
24,-9999
25,-9999
26,-9999
27,-9999
28,-9999
29,-9999
30,-9999
31,-9999
32,-9999
33,-9999
34,-9999
35,-9999
36,-9999
37,-9999
38,-9999
39,-9999
40,-9999
41,-9999
42,-9999
43,-9999
44,-9999
45,-9999
46,-9999
47,-9999
48,-9999
49,-9999
50,-9999
51,-9999
52,-9999
53,-9999
54,-9999
55,-9999
56,-9999
57,-9999
58,-9999
59,-9999
60,-9999
61,-9999
62,-9999
63,-9999
64,-9999
65,-9999
66,-9999
67,-9999
68,-9999
69,-9999
70,-9999
71,-9999
72,-9999
73,-9999
74,-9999
75,-9999
76,-9999
77,-9999
78,-9999
79,-9999
80,-9999
81,-9999
82,-9999
83,-9999
84,-9999
85,-9999
86,-9999
87,-9999
88,-9999
89,-9999
90,-9999
91,-9999
92,-9999
93,-9999
94,-9999
95,-9999
96,-9999
97,-9999
98,-9999
99,-9999
100,-9999
101,-9999
102,-9999
103,-9999
104,-9999
105,-9999
106,-9999
107,-9999
108,-9999
109,-9999
110,-9999
111,-9999
112,-9999
113,-9999
114,-9999
115,-9999
116,-9999
117,-9999
118,-9999
119,-9999
120,-9999
121,-9999
122,-9999
123,-9999
124,-9999
125,-9999
126,-9999
127,-9999
128,-9999
129,-9999
130,-9999
131,-9999
132,-9999
133,-9999
134,-9999
135,-9999
136,-9999
137,-9999
138,-9999
139,-9999
140,-9999
141,-9999
142,-9999
143,-9999
144,-9999
145,-9999
146,-9999
147,-9999
148,-9999
149,-9999
150,-9999
151,-9999
152,-9999
153,-9999
154,-9999
155,-9999
156,-9999
157,-9999
158,-9999
159,-9999
160,-9999
161,-9999
162,-9999
163,-9999
164,-9999
165,-9999
166,-9999
167,-9999
168,-9999
169,-9999
170,-9999
171,-9999
172,-9999
173,-9999
174,-9999
175,-9999
176,-9999
177,-9999
178,-9999
179,-9999
180,-9999
181,-9999
182,-9999
183,-9999
184,-9999
185,-9999
186,-9999
187,-9999
188,-9999
189,-9999
190,-9999
191,-9999
192,-9999
193,-9999
194,-9999
195,-9999
196,-9999
197,-9999
198,-9999
199,-9999
200,-9999
201,-9999
202,-9999
203,-9999
204,-9999
205,-9999
206,-9999
207,-9999
208,-9999
209,-9999
210,-9999
211,-9999
212,-9999
213,-9999
214,-9999
215,-9999
216,-9999
217,-9999
218,-9999
219,-9999
220,-9999
221,-9999
222,-9999
223,-9999
224,-9999
225,-9999
226,-9999
227,-9999
228,-9999
229,-9999
230,-9999
231,-9999
232,-9999
233,-9999
234,-9999
235,-9999
236,-9999
237,-9999
238,-9999
239,-9999
240,-9999
241,-9999
242,-9999
243,-9999
244,-9999
245,-9999
246,-9999
247,-9999
248,-9999
249,-9999
250,-9999
251,-9999
252,-9999
253,-9999
254,-9999
255,-9999
256,-9999
257,-9999
258,-9999
259,-9999
260,-9999
261,-9999
262,-9999
263,-9999
264,-9999
265,-9999
266,-9999
267,-9999
268,-9999
269,-9999
270,-9999
271,-9999
272,-9999
273,-9999
274,-9999
275,-9999
276,-9999
277,-9999
278,-9999
279,-9999
280,-9999
281,-9999
282,-9999
283,-9999
284,-9999
285,-9999
286,-9999
287,-9999
288,-9999
289,-9999
290,-9999
291,-9999
292,-9999
293,-9999
294,-9999
295,-9999
296,-9999
297,-9999
298,-9999
299,-9999
300,-9999
301,-9999
302,-9999
303,-9999
304,-9999
305,-9999
306,-9999
307,-9999
308,-9999
309,-9999
310,-9999
311,-9999
312,-9999
313,-9999
314,-9999
315,-9999
316,-9999
317,-9999
318,-9999
319,-9999
320,-9999
321,-9999
322,-9999
323,-9999
324,-9999
325,-9999
326,-9999
327,-9999
328,-9999
329,-9999
330,-9999
331,-9999
332,-9999
333,-9999
334,-9999
335,-9999
336,-9999
337,-9999
338,-9999
339,-9999
340,-9999
341,-9999
342,-9999
343,-9999
344,-9999
345,-9999
346,-9999
347,-9999
348,-9999
349,-9999
350,-9999
351,-9999
352,-9999
353,-9999
354,-9999
355,-9999
356,-9999
357,-9999
358,-9999
359,-9999
360,-9999
361,-9999
362,-9999
363,-9999
364,-9999
365,-9999
366,-9999
367,-9999
368,-9999
369,-9999
370,-9999
371,-9999
372,-9999
373,-9999
374,-9999
375,-9999
376,-9999
377,-9999
378,-9999
379,-9999
380,-9999
381,-9999
382,-9999
383,-9999
384,-9999
385,-9999
386,-9999
387,-9999
388,-9999
389,-9999
390,-9999
391,-9999
392,-9999
393,-9999
394,-9999
395,-9999
396,-9999
397,-9999
398,-9999
399,-9999
400,-9999
401,-9999
402,-9999
403,-9999
404,-9999
405,-9999
406,-9999
407,-9999
408,-9999
409,-9999
410,-9999
411,-9999
412,-9999
413,-9999
414,-9999
415,-9999
416,-9999
417,-9999
418,-9999
419,-9999
420,-9999
421,-9999
422,-9999
423,-9999
424,-9999
425,-9999
426,-9999
427,-9999
428,-9999
429,-9999
430,-9999
431,-9999
432,-9999
433,-9999
434,-9999
435,-9999
436,-9999
437,-9999
438,-9999
439,-9999
440,-9999
441,-9999
442,-9999
443,-9999
444,-9999
445,-9999
446,-9999
447,-9999
448,-9999
449,-9999
450,-9999
451,-9999
452,-9999
453,-9999
454,-9999
455,-9999
456,-9999
457,-9999
458,-9999
459,-9999
460,-9999
461,-9999
462,-9999
463,-9999
464,-9999
465,-9999
466,-9999
467,-9999
468,-9999
469,-9999
470,-9999
471,-9999
472,-9999
473,-9999
474,-9999
475,-9999
476,-9999
477,-9999
478,-9999
479,-9999
480,-9999
481,-9999
482,-9999
483,-9999
484,-9999
485,-9999
486,-9999
487,-9999
488,-9999
489,-9999
490,-9999
491,-9999
492,-9999
493,-9999
494,-9999
495,-9999
496,-9999
497,-9999
498,-9999
499,-9999
500,-9999
501,-9999
502,-9999
503,-9999
504,-9999
505,-9999
506,-9999
507,-9999
508,-9999
509,-9999
510,-9999
511,-9999
512,-9999
513,-9999
514,-9999
515,-9999
516,-9999
517,-9999
518,-9999
519,-9999
520,-9999
521,-9999
522,-9999
523,-9999
524,-9999
525,-9999
526,-9999
527,-9999
528,-9999
529,-9999
530,-9999
531,-9999
532,-9999
533,-9999
534,-9999
535,-9999
536,-9999
537,-9999
538,-9999
539,-9999
540,-9999
541,-9999
542,-9999
543,-9999
544,-9999
545,-9999
