"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.000752,1.301,51.49,-1.568,0.871
1.000684,1.259,99.33,-1.725,0.861
1.000643,1.451,66.62,-1.515,0.755
1.000953,1.266,46.67,-1.554,0.672
1.000879,1.428,98.87,-1.548,0.861
1.000532,1.269,63.76,-1.5,0.767
1.000697,1.46,84.15,-1.612,0.85
1.00058,1.332,59.22,-1.628,0.782
1.001124,1.306,65.84,-1.545,0.887
1.000723,1.329,49.6,-1.64,0.843
1.000723,1.347,79.71,-1.747,0.812
1.000915,1.254,101.46,-1.896,0.852
1.000857,1.44,41.44,-1.572,0.522
1.000634,1.462,67.8,-1.591,0.868
1.000938,1.289,99.78,-1.548,0.861
1.000877,1.591,83.14,-1.561,0.624
1.000907,1.371,71.33,-1.741,0.708
1.000697,1.329,74.72,-1.79,0.751
1.00062,1.386,99.52,-1.76,0.652
1.000701,1.39,41.45,-1.594,0.77
1.00092,1.394,50.8,-1.602,0.87
1.000656,1.435,78.54,-1.716,0.694
1.000752,1.252,98.22,-1.956,0.752
1.000504,1.482,61.05,-1.514,0.61
1.000737,1.649,96.4,-1.657,0.741
1.000504,1.41,50.54,-1.555,0.563
1.001071,1.724,81.86,-1.521,0.66
1.000668,1.5,51.54,-1.594,0.621
1.000619,1.319,53.03,-1.57,0.477
1.001346,1.291,58.33,-1.589,0.776
1.000902,1.465,61.52,-1.547,0.502
1.000518,1.563,74.43,-1.534,0.852
1.000533,1.312,59.91,-1.751,0.692
1.000909,1.431,73.83,-1.761,0.563
1.000664,1.553,75.67,-1.602,0.875
1.001307,1.478,66.89,-1.566,0.718
1.000677,1.59,52.8,-1.504,0.824
1.001143,1.675,67.93,-1.523,0.568
1.000941,1.597,85.2,-1.624,0.896
1.001296,1.286,53.54,-1.695,0.585
1.001221,1.482,54.06,-1.604,0.652
1.001187,1.56,61.54,-1.562,0.768
1.00086,1.568,37.43,-1.529,0.391
1.001303,1.359,50.52,-1.613,0.899
1.000731,1.268,95.71,-1.575,0.687
1.000914,1.529,62.01,-1.693,0.543
1.000955,1.689,104.96,-1.719,0.738
1.000671,1.571,103.67,-1.794,0.705
1.001135,1.434,66.18,-1.71,0.746
1.000844,1.256,46.4,-1.829,0.756
1.000985,1.475,99.19,-1.78,0.898
1.000501,1.328,101.74,-1.787,0.591
1.000971,1.731,73.56,-1.509,0.877
1.00102,1.491,52.87,-1.685,0.564
1.000616,1.349,61.57,-1.766,0.811
1.001172,1.476,40.37,-1.568,0.73
1.001103,1.336,59.06,-1.823,0.604
1.000869,1.308,74.55,-1.875,0.844
1.000764,1.417,49.75,-1.737,0.62
1.00133,1.538,82.69,-1.636,0.654
1.00069,1.499,54.06,-1.605,0.844
1.000785,1.649,50.33,-1.507,0.775
1.001386,1.275,59.23,-1.775,0.648
1.000919,1.432,95.69,-1.771,0.521
1.001027,1.531,65.13,-1.677,0.455
1.000506,1.284,51.49,-1.561,0.444
1.000838,1.808,67.95,-1.558,0.469
1.001273,1.326,42.43,-1.557,0.449
1.000514,1.512,92.22,-1.742,0.591
1.001287,1.686,59.53,-1.502,0.738
1.000687,1.449,64.64,-1.787,0.471
1.001373,1.715,81.84,-1.561,0.682
1.001459,1.433,57.15,-1.608,0.6
1.000676,1.441,95.26,-1.711,0.502
1.001341,1.352,57.53,-1.753,0.677
1.000844,1.308,51.3,-1.886,0.411
1.001533,1.404,80.24,-1.614,0.767
1.001387,1.415,82.06,-1.759,0.669
1.000788,1.58,90.7,-1.716,0.893
1.00085,1.443,80.48,-1.821,0.449
1.001088,1.455,79.02,-1.83,0.505
1.000793,1.425,51.21,-1.617,0.358
1.000808,1.645,71.06,-1.676,0.429
1.00074,1.382,71.31,-1.723,0.417
1.000861,1.819,70.41,-1.571,0.665
1.001243,1.288,103.48,-1.951,0.619
1.000889,1.769,66.29,-1.606,0.613
1.000833,2.348,100.14,-1.509,0.602
1.001417,1.362,67.92,-1.734,0.857
1.000581,1.619,69.1,-1.663,0.486
1.000607,1.588,83.16,-1.699,0.805
1.000813,1.316,80.93,-1.995,0.727
1.000639,1.447,52.04,-1.62,0.356
1.000639,1.574,43.52,-1.558,0.706
1.001141,1.499,43.73,-1.638,0.352
1.000928,1.264,60.93,-1.986,0.654
1.00068,1.26,40.64,-1.881,0.604
1.001185,1.331,95.92,-1.948,0.546
1.00062,1.499,99.57,-1.776,0.476
1.000737,1.707,103.6,-1.758,0.777
1.000919,1.424,80.74,-1.947,0.584
1.000653,1.808,74.7,-1.597,0.446
1.001074,1.807,104.9,-1.548,0.542
1.000662,1.47,86.09,-1.914,0.559
1.000808,1.296,97.75,-2.029,0.468
1.000502,1.822,74.85,-1.516,0.63
1.001005,1.367,100.02,-1.75,0.529
1.00109,1.954,89.99,-1.515,0.483
1.000846,1.859,53.58,-1.517,0.567
1.001465,1.505,103.74,-1.69,0.659
1.00076,1.291,85.7,-1.981,0.427
1.000629,1.44,58.09,-1.79,0.615
1.000794,1.861,69.7,-1.587,0.627
1.000686,1.481,102.84,-1.884,0.456
1.000573,1.781,62.14,-1.535,0.422
1.000856,1.57,88.67,-1.875,0.445
1.000597,1.352,46.67,-1.837,0.393
1.001338,1.705,102.43,-1.742,0.722
1.000764,1.278,76.53,-2.054,0.429
1.001376,1.572,78.74,-1.761,0.577
1.001136,1.91,93.73,-1.7,0.504
1.000719,1.277,74.1,-1.983,0.833
1.000933,1.624,53.81,-1.727,0.451
1.001077,1.899,82.56,-1.68,0.465
1.000561,1.262,42.58,-1.892,0.514
1.001223,2.111,89.76,-1.536,0.487
1.001487,1.873,93.74,-1.508,0.593
1.00077,1.881,68.73,-1.504,0.798
1.000559,1.33,58.98,-1.91,0.527
1.000823,1.521,102.74,-1.669,0.486
1.000991,1.785,67.73,-1.701,0.417
1.000594,1.5,56.46,-1.735,0.614
1.000991,1.574,80.49,-1.878,0.567
1.001662,1.656,79.24,-1.544,0.864
1.001717,1.52,59.38,-1.534,0.889
1.000791,2.131,87.58,-1.592,0.569
1.000632,1.469,69.84,-1.835,0.659
1.000934,1.631,63.23,-1.769,0.372
1.00167,1.275,54.86,-1.735,0.548
1.000576,1.312,66.86,-1.78,0.367
1.001352,1.635,39.83,-1.579,0.345
1.000821,1.267,35.8,-1.906,0.603
1.001355,1.381,74.6,-1.925,0.602
1.000811,1.634,97.93,-1.937,0.467
1.000595,1.366,97.5,-1.591,0.531
1.001463,1.47,79.9,-1.817,0.699
1.001787,1.288,38.45,-1.613,0.525
1.001358,1.421,40.98,-1.609,0.334
1.001041,1.952,89.83,-1.562,0.848
1.001027,1.561,60.88,-1.787,0.598
1.001351,1.285,55.48,-1.958,0.478
1.001188,2.319,103.81,-1.541,0.708
1.001391,1.859,69.45,-1.519,0.753
1.000812,1.472,37.55,-1.669,0.729
1.00155,1.282,60.91,-1.871,0.496
1.000701,1.745,97.6,-1.536,0.46
1.00078,2.105,79.5,-1.622,0.426
1.001485,1.912,81.76,-1.52,0.505
1.000906,2.287,100.33,-1.665,0.511
1.000763,1.761,77.44,-1.688,0.702
1.001846,1.349,74.47,-1.686,0.778
1.000662,1.404,52.9,-1.855,0.59
1.000609,1.255,75.87,-2.004,0.372
1.000775,1.907,90.57,-1.604,0.397
1.001803,1.257,44.9,-1.761,0.574
1.000738,1.373,60.62,-1.934,0.637
1.000641,1.43,94.53,-1.965,0.792
1.001422,1.57,104.46,-1.893,0.552
1.001557,1.84,52.39,-1.513,0.499
1.000526,2.094,91.4,-1.574,0.516
1.000692,1.302,68.59,-1.999,0.749
1.001022,1.705,76.39,-1.631,0.376
1.00122,1.827,49.06,-1.519,0.634
