 Time (days),LWP,stom_conduct,rsoil,rplant
1.00,-.2015873,1.7291986,.0000000,873816064.0000000
1.01,-.2046601,1.7301923,.0000000,873816064.0000000
1.02,-.2074258,1.7300097,.0000000,873816064.0000000
1.03,-.2066976,1.7290741,.0000000,873816064.0000000
1.04,-.2091803,1.7299435,.0000000,873816064.0000000
1.05,-.2113253,1.7300677,.0000000,873816064.0000000
1.06,-.2131775,1.7301412,.0000000,873816064.0000000
1.07,-.2116384,1.7298191,.0000000,873816064.0000000
1.08,-.2134485,1.7296948,.0000000,873816064.0000000
1.09,-.2150740,1.7312367,.0000000,873816064.0000000
1.10,-.2132684,1.7309382,.0000000,873816064.0000000
1.11,-.2148398,1.7301918,.0000000,873816064.0000000
1.12,-.2163435,1.7287953,.0000000,873816064.0000000
1.14,-.2144954,1.7290740,.0000000,873816064.0000000
1.15,-.2159260,1.7303160,.0000000,873816064.0000000
1.16,-.2171931,1.7309382,.0000000,873816064.0000000
1.17,-.2182629,1.7308134,.0000000,873816064.0000000
1.18,-.2192174,1.7306859,.0000000,873816064.0000000
1.19,-.2168888,1.7305025,.0000000,873816064.0000000
1.20,-.2179987,1.7305140,.0000000,873816064.0000000
1.21,-.2158085,1.7305648,.0000000,873816064.0000000
1.22,-.2170618,1.7305238,.0000000,873816064.0000000
1.23,-.2150106,1.7305804,.0000000,873816064.0000000
1.24,-.2131055,1.7311866,.0000000,873816064.0000000
1.25,-.2145927,1.7314979,.0000000,873816064.0000000
1.26,-.2159139,1.7318990,.0000000,873816064.0000000
1.27,-.2170803,1.7320583,.0000000,873816064.0000000
1.28,-.2181133,1.7321208,.0000000,873816064.0000000
1.29,-.2190301,1.7321028,.0000000,873816064.0000000
1.30,-.2198423,1.7324765,.0000000,873816064.0000000
1.31,-.2205601,1.7324281,.0000000,873816064.0000000
1.32,-.2212031,1.7326102,.0000000,873816064.0000000
1.33,-.2186202,6.0178890,.0000000,873816064.0000000
1.34,-.2163283,5.9951220,.0000000,873816064.0000000
1.35,-.2142946,12.5193520,.0000000,873816064.0000000
1.36,-.2124890,18.3528748,.0000000,873816064.0000000
1.38,-.2108857,21.5769253,.0000000,873816064.0000000
1.39,-.2094616,29.5849934,.0000000,873816064.0000000
1.40,-.2086978,55.1123848,.0000000,873816064.0000000
1.41,-.2089040,38.7630959,.0000000,873816064.0000000
1.42,-.2106219,63.8438721,.0000000,873816064.0000000
1.43,-.2126908,66.9935989,.0000000,873816064.0000000
1.44,-.2166676,67.0764847,.0000000,873816064.0000000
1.45,-.2208732,76.8519135,.0000000,873816064.0000000
1.46,-.2290200,75.3618240,.0000000,873816064.0000000
1.47,-.2427142,74.9136276,.0000000,873816064.0000000
1.48,-.2658615,97.7819824,.0000000,873816064.0000000
1.49,-.2738484,60.7688560,.0000000,873816064.0000000
1.50,-.2851505,76.4741516,.0000000,873816064.0000000
1.51,-.2871374,48.2898140,.0000000,873816064.0000000
1.52,-.2879411,48.5247726,.0000000,873816064.0000000
1.53,-.3023856,87.0661240,.0000000,873816064.0000000
1.54,-.3144719,80.6393661,.0000000,873816064.0000000
1.55,-.3104106,54.6997643,.0000000,873816064.0000000
1.56,-.3056982,59.2489395,.0000000,873816064.0000000
