 Time (days),soilR,soilR1,soilR2,CSR(1),CSR(2),CSR(3),CSR(4),CSR(5)
1.00,40210.8750000,Inf,Inf,200.2586060,200.2586060,200.2586060,200.2586060,200.2586060
1.01,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.02,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.03,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.04,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.05,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.06,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.07,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.08,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.09,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.10,5651.7060547,Inf,Inf,28.1469231,28.1469231,28.1469231,28.1469231,28.1469231
1.11,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.12,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.14,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.15,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.16,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.17,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.18,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.19,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.20,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.21,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.22,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.23,5651.7060547,Inf,Inf,28.1469250,28.1469250,28.1469250,28.1469250,28.1469250
1.24,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.25,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.26,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.27,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.28,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.29,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.30,5651.7060547,Inf,Inf,28.1468868,28.1468868,28.1468868,28.1468868,28.1468868
1.31,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
1.32,5651.7060547,Inf,Inf,28.1468906,28.1468906,28.1468906,28.1468906,28.1468906
